1, 35961471
2, 8213047
3, -1539607265
4, -1539976897
5, -1539947609
6, 41812071
7, 8129335
8, -1540022185
9, 35547535
10, -1539751497
11, -807372785
12, -949903625
13, -949733321
14, -807365049
15, -1539739633
16, 35817143
17, -807367705
18, 8130895
19, 8198199
20, -949692233
21, 35561879
22, -1539742425
23, -1539742689
24, 8044159
25, 35992703
26, -1539948937
27, -1539607265
28, -807361233
29, 36058967
30, 8130791
31, -949715025
32, 36058535
33, -1539948241
34, 41
35, 3
36, 3
37, 10
38, 3
39, 36033015
40, 9
41, 6
42, 4
43, 5
44, 21
45, 2
46, 36
47, 2
48, 2
49, 7
50, 3
51, 3
52, 14
53, 71
54, 8
55, 20
56, 8063543
57, 2
58, -1539736825
59, 8194239
60, 3
61, 4
62, -949920865
63, 8193767
64, 3
65, 35821583
66, 35873239
67, 5
68, 9
69, 3
70, 3
71, 3
72, 35863943
73, 2
74, 35927999
75, 10
76, 3
77, 2
78, 4
79, 10
80, 19
81, 8
82, 8
83, 6
84, 8
85, 4
86, 8097535
87, 3
88, 2
89, 2
90, 77
91, 2
92, 2
93, 2
94, 2
95, 3
96, 14
97, 2
98, 5
99, 34
100, 8
101, 5
102, 4
103, 12
104, 2
105, 3
106, 3
107, 163
108, 38
109, 158
110, 80
111, 3
112, 7
113, 2
114, 3
115, 59
116, 10
117, 118
118, 59
119, 17
120, 45
121, 81
122, 3
123, 11
124, 25
125, 81
126, 39
127, 13
128, 27
129, 69
130, 12
131, 5
132, 3
133, 2
134, 3
135, 12
136, 73
137, 2
138, 6
139, 2
140, 3
141, 8
142, 2
143, 2
144, 4
145, 4
146, 23
147, 5
148, 62
149, 17
150, 6
151, 46
152, 3
153, 6
154, 12
155, 5
156, 3
157, 7
158, 7
159, 24
160, 2
161, 4
162, 2
163, 3
164, 5
165, 8
166, 15
167, 143
168, 7
169, 12
170, 6
171, 18
172, 3
173, 90
174, 16
175, 12
176, 84
177, 4
178, 49
179, 6
180, 4
181, 3
182, 10
183, 6
184, 3
185, 4
186, 5
187, 3
188, 5
189, 4
190, 2
191, 2
192, 17
193, 3
194, 3
195, 4
196, 3
197, 17
198, 13
199, 3
200, 3
201, 3
202, 2
203, 8
204, 7
205, 2
206, 3
207, 6
208, 5
209, 4
210, 2
211, 9
212, 4
213, 16
214, 2
215, 7
216, 5
217, 11
218, 2
219, 2
220, 2
221, 2
222, 8
223, 11
224, 15
225, 6
226, 10
227, 8
228, 3
229, 5
230, 15
231, 5
232, 7
233, 4
234, 3
235, 2
236, 3
237, 2
238, 5
239, 3
240, 2
241, 3
242, 4
243, 2
244, 6
245, 4
246, 4
247, 2
248, 2
249, 3
250, 2
251, 2
252, 5
253, 3
254, 35
255, 40
256, 36
257, 19
258, 35
259, 30
260, 24
261, 44
262, 41
263, 32
264, 43
265, 415
266, 247
267, 247
268, 336
269, 352
270, 269
271, 275
272, 274
273, 297
274, 328
275, 278
276, 277
277, 268
278, 3
279, 226
280, 347
281, 255
282, 413
283, 308
284, 298
285, 3
286, 5
287, 3
288, 12
289, 48
290, 4
291, 4
292, 2
293, 20
294, 184
295, 126
296, 10
297, 24
298, 2
299, 5
300, 5
301, 3
302, 49
303, 3
304, 62
305, 27
306, 106
307, 5
308, 12
309, 27
310, 18
311, 7
312, 3
313, 3
314, 173
315, 4
316, 2
317, 196
318, 2
319, 7
320, 107
321, 35
322, 76
323, 2
324, 62
325, 4
326, 4
327, 2
328, 35
329, 5
330, 4
331, 3
332, 4
333, 6
334, 4
335, 7
336, 7
337, 16
338, 14
339, 3
340, 6
341, 4
342, 7
343, 5
344, 9
345, 25
346, 48
347, 30
348, 6
349, 10
350, 8
351, 17
352, 7
353, 9
354, 35
355, 11
356, 2
357, 113
358, 20
359, 3
360, 4
361, 10
362, 31
363, 3
364, 3
365, 3
366, 4
367, 6
368, 5
369, 2
370, 10
371, 117
372, 21
373, 37
374, 3
375, 26
376, 3
377, 2
378, 3
379, 2
380, 5
381, 104
382, 77
383, 8
384, 2
385, 4
386, 8
